,noise_avg,context,trial,noise,ignore,single,optimal
0,0.1,-0.5,0,0.06252289541797416,0.13165344610705818,0.11505380520282778,0.1686201548560588
1,0.1,-0.1,1,-0.12658726457209132,0.4231370224643801,0.03637451729043987,0.18782890272808417
2,0.1,0.1,2,0.09525267392254085,0.5684792423617259,0.1176437934949785,0.29737257733176187
3,0.1,0.1,3,0.0037920529507597042,0.611445645622221,0.14765002285883466,0.44727264129898303
4,0.1,-0.7,4,0.08570818574125588,0.01754800826413438,0.004832860570813893,0.08166003383873995
5,0.1,-0.5,5,-0.006622129769912454,0.09979349961868385,0.012110146136272638,0.021234264844319447
6,0.1,0.3,6,0.05111410734015327,0.8188971533205789,0.17158824949051704,0.2691484786624929
7,0.1,-0.1,7,0.142910339368701,0.45486479848818295,0.05601826560749707,0.23690963986460922
8,0.1,-0.1,8,-0.12773116953660998,0.27881560515878057,0.04117362081281886,0.5490085583409215
9,0.1,0.5,9,0.04648004259377151,0.8974940260466654,0.47599870739557926,0.9196525533687621
10,0.1,-0.1,10,0.11133723320205353,0.39770036486512256,0.04740770344286687,0.807818674529123
11,0.1,-0.1,11,-0.03677188260590757,0.3869258162736488,0.06110761974377563,0.6711314702034928
12,0.1,0.1,12,0.109401919513647,0.5707364533180389,0.06356041836061131,0.43854362616345394
13,0.1,0.3,13,0.054726521179533506,0.7986207939115963,0.31070965982299287,0.80130996659196
14,0.1,0.1,14,0.03481637622657747,0.6123223387593565,0.1314726033701756,0.8374407467916788
15,0.1,-0.5,15,-0.019684436776388578,0.10376093707086159,0.012406131353688241,0.27663217122639977
16,0.1,-0.7,16,-0.020564786298071666,0.044462140051548596,0.0051626891719251085,0.02390547343246438
17,0.1,-0.3,17,0.07722264167748324,0.25256742678252797,0.03415148298471607,0.05220604504597556
18,0.1,-0.1,18,0.062188958481187454,0.36659288643613447,0.09214696837387183,0.08099083504679372
19,0.1,-0.5,19,-0.06433074414474653,0.1090571969946359,0.014142209922524763,0.021386080010952952
20,0.1,-0.3,20,0.041205573969955805,0.23486609558748328,0.042590964160167534,0.028870217747910733
21,0.1,-0.1,21,0.010659580982096274,0.415003820409549,0.06339957703791385,0.08223895440270713
22,0.1,-0.7,22,-0.12484836589847972,0.02746135070258023,0.003943927940562172,0.01041951965651113
23,0.1,-0.7,23,0.10504463667143019,0.05321706456005068,0.004495627850852812,0.005128115746051565
24,0.1,-0.7,24,0.09088668861748839,0.04226055015561964,0.004267674776481549,0.0030483844523118307
25,0.1,0.1,25,-0.0024904854355773005,0.6043260965311446,0.14793240062487617,0.14760383647198394
26,0.1,-0.5,26,0.035672722522491276,0.0778305626682711,0.01083657085967193,0.03524608268920689
27,0.1,-0.7,27,-0.03203682674722235,0.04303194902136787,0.005855536782657991,0.007463050306063225
28,0.1,0.5,28,-0.06572247992632398,0.8983629966332898,0.4093537648184069,0.5114214716776756
29,0.1,-0.5,29,-0.10811279048420358,0.204866276859609,0.005922319428373966,0.09983504915934825
30,0.1,-0.5,30,-0.04430821452885925,0.0984558661700391,0.013612475589302063,0.024469774239834367
31,0.1,-0.7,31,0.05306277629319354,0.0515263794966218,0.004577995856728922,0.0061008262000090555
